gene_id	chrom	left	right
A1BG	19	58856543	58859000
A1BG-AS1	19	58859116	58866549
A1CF	10	52559168	52645435
A2M	12	9220259	9244008
A2M-AS1	12	9217772	9220651
A2ML1	12	8975067	9029381
A2ML1-AS1	12	8928814	8983543
A2ML1-AS2	12	8972411	8973309
A2MP1	12	9381128	9386803
A3GALT2	1	33772366	33777822
A4GALT	22	43088126	43091639
A4GNT	3	137842559	137851229
AAAS	12	53701239	53715415
AACS	12	125549924	125627866
AACSP1	5	178191861	178245436
AADAC	3	151531824	151546276
AADACL2	3	151451703	151479127
AADACL2-AS1	3	151469230	151645956
AADACL3	1	12776117	12788726
AADACL4	1	12704565	12727097
AADACP1	3	151488215	151491740
AADAT	4	170981372	171011538
AAED1	9	99401858	99417585
AAGAB	15	67493370	67547074
AAK1	2	69688531	69870786
AAMDC	11	77532154	77629478
AAMP	2	219128849	219134980
AANAT	17	74449432	74466199
AAR2	20	34824380	34858840
AARD	8	117950437	117956726
AARS	16	70286197	70323446
AARS2	6	44267390	44281063
AARSD1	17	41102542	41107963
AARSP1	4	133513238	133513691
AASDH	4	57204455	57253666
AASDHPPT	11	105946227	105962186
AASS	7	121715700	121726207
AATBC	21	45225638	45232448
AATK	17	79091094	79139817
AATK-AS1	17	79139306	79156964
ABAT	16	8768421	8878432
ABCA1	9	107543282	107690518
ABCA2	9	139901685	139922740
ABCA3	16	2325881	2390747
ABCA4	1	94458392	94586688
ABCA5	17	67240451	67323242
ABCA6	17	67074842	67138015
ABCA7	19	1040101	1065568
ABCA8	17	66863432	66951492
ABCA9	17	66970628	67057205
ABCA9-AS1	17	67000854	67014464
ABCA10	17	67143354	67146203
ABCA11P	4	419223	467918
ABCA12	2	215796265	216003151
ABCA13	7	48211054	48312592
ABCA17P	16	2389150	2411678
ABCB1	7	87133174	87342564
ABCB4	7	87031012	87032517
ABCB5	7	20654829	20796632
ABCB6	2	220074489	220083712
ABCB7	X	74273114	74376132
ABCB8	7	150725509	150730929
ABCB9	12	123405497	123451007
ABCB10	1	229652328	229694442
ABCB10P3	15	28648013	28650179
ABCB10P4	15	28751770	28753954
ABCB11	2	169779447	169887832
ABCC1	16	16043433	16236931
ABCC2	10	101542488	101611949
ABCC3	17	48712137	48713276
ABCC4	13	95672082	95953687
ABCC5	3	183637721	183735803
ABCC5-AS1	3	183724125	183729207
ABCC6	16	16242784	16317321
ABCC6P1	16	18582483	18584844
ABCC6P2	16	14914648	14918526
ABCC8	11	17414431	17417432
ABCC9	12	21950334	22089608
ABCC10	6	43395103	43409635
ABCC11	16	48200820	48221301
ABCC12	16	48116883	48180681
ABCC13	21	15608526	15651978
ABCD1	X	152990322	153010216
ABCD1P2	10	38894548	38898740
ABCD1P3	16	32486371	32489571
ABCD1P4	22	16868419	16871613
ABCD1P5	2	92028626	92031828
ABCD2	12	39943834	40013553
ABCD3	1	94883932	94984219
ABCD4	14	74752125	74769759
ABCE1	4	146019083	146050331
ABCF1	6	30539152	30559309
ABCF2	7	150904922	150924252
ABCF2P1	3	88366305	88368172
ABCF2P2	7	71568165	71569194
ABCF3	3	183903810	183911795
ABCG1	21	43619798	43717354
ABCG2	4	89011415	89152474
ABCG4	11	119019721	119033360
ABCG5	2	44039610	44065958
ABCG8	2	44066102	44105605
ABHD1	2	27346681	27352138
ABHD2	15	89630689	89698621
ABHD3	18	19230857	19284766
ABHD4	14	23067145	23081265
ABHD5	3	43731604	43744076
ABHD6	3	58223232	58280459
ABHD8	19	17402939	17414282
ABHD10	3	111697856	111711118
ABHD11	7	73150423	73153197
ABHD11-AS1	7	73149367	73150384
ABHD12	20	25275378	25281520
ABHD12B	14	51338877	51371688
ABHD13	13	108870726	108886603
ABHD14A	3	52005441	52014490
ABHD14A-ACY1	3	52009065	52023199
ABHD14B	3	52002525	52017425
ABHD15	17	27887564	27894155
ABHD15-AS1	17	27887564	28034108
ABHD16A	6	31654725	31671221
ABHD16B	20	62492565	62494341
ABHD17A	19	1876808	1885546
ABHD17AP1	1	146076837	146080009
ABHD17AP3	1	214778812	214782183
ABHD17AP4	22	21022123	21025272
ABHD17AP6	17	20717932	20747570
ABHD17AP7	16	32737935	32740858
ABHD17AP8	16	32211222	32214143
ABHD17AP9	16	33152170	33155118
ABHD17B	9	74477367	74525847
ABHD17C	15	80972024	81046860
ABHD18	4	128886460	128952445
ABI1	10	27035521	27149959
ABI1P1	14	56013391	56014841
ABI2	2	204192941	204312446
ABI3	17	47287588	47300587
ABI3BP	3	100467999	100712359
ABL1	9	133589332	133761070
ABL2	1	179068461	179198736
ABLIM1	10	116190871	116286685
ABLIM2	4	7967038	8160538
ABLIM3	5	148521045	148640105
ABO	9	136125787	136150617
ABR	17	906757	1083168
ABRA	8	107771710	107782473
ABRACL	6	139349818	139364439
ABRAXAS1	4	84382091	84406334
ABRAXAS2	10	126490353	126525239
ABT1	6	26597179	26600278
ABT1P1	4	99943461	99944282
ABTB1	3	127391777	127395869
ABTB2	11	34172534	34378802
ACAA1	3	38144619	38164574
ACAA2	18	47309868	47340330
ACACB	12	109554399	109706031
ACAD8	11	134123388	134135749
ACAD9	3	128598438	128603532
ACAD10	12	112123856	112186843
ACAD11	3	132276981	132378975
ACADL	2	211052662	211090215
ACADM	1	76190035	76229364
ACADS	12	121163537	121177811
ACADSB	10	124768494	124813635
ACADVL	17	7120443	7128585
ACAN	15	89346673	89418585
ACAP1	17	7239847	7254797
ACAP2	3	194995464	195163807
ACAP2-IT1	3	195001451	195003470
ACAP3	1	1227755	1243398
ACAT1	11	107992242	108018503
ACAT2	6	160181359	160200087
ACBD3	1	226332379	226374431
ACBD3-AS1	1	226335703	226342772
ACBD4	17	43209966	43221539
ACBD5	10	27484145	27531059
ACBD6	1	180238787	180243816
ACBD7	10	15119521	15130775
ACCS	11	44087474	44099249
ACCSL	11	44069530	44081527
ACD	16	67691414	67694713
ACE	17	61554421	61560922
ACE2	X	15579155	15620192
ACE3P	17	61584416	61597167
ACER1	19	6306152	6333640
ACER2	9	19408924	19446248
ACER3	11	76571910	76730811
ACHE	7	100487614	100493753
ACIN1	14	23527772	23540774
ACKR1	1	159173096	159176288
ACKR2	3	42846243	42877265
ACKR3	2	237476429	237489740
ACKR4	3	132316080	132321059
ACLY	17	40023160	40075240
ACMSD	2	135596116	135659604
ACO1	9	32384617	32450830
ACO2	22	41865128	41924993
ACOD1	13	77522631	77532777
ACOT1	14	74003817	74010498
ACOT2	14	74034323	74042357
ACOT4	14	74058409	74063200
ACOT6	14	74077648	74086425
ACOT7	1	6324328	6453421
ACOT8	20	44470359	44486045
ACOT9	X	23720369	23761390
ACOT11	1	55007929	55075797
ACOT12	5	80625823	80689962
ACOT13	6	24667262	24705293
ACOX1	17	73937587	73975444
ACOX2	3	58490862	58523046
ACOX3	4	8368008	8442438
ACOXL	2	111490149	111875799
ACOXL-AS1	2	111855921	111871762
ACP1	2	264139	264922
ACP2	11	47260852	47270457
ACP5	19	11685474	11689800
ACP6	1	147101452	147131116
ACP7	19	39574552	39602133
ACPP	3	132036210	132077596
ACPT	19	51293671	51298481
ACR	22	51176623	51183762
ACRBP	12	6747240	6756626
ACRV1	11	125541416	125551018
ACSBG1	15	78459809	78527049
ACSBG2	19	6135257	6151808
ACSF2	17	48503518	48552031
ACSF3	16	89154782	89180881
ACSL1	4	185676748	185747273
ACSL3	2	223725651	223809357
ACSL4	X	108867472	108877915
ACSL5	10	114133775	114188134
ACSL6	5	131142682	131329971
ACSM1	16	20634558	20702578
ACSM2A	16	20462782	20480867
ACSM2B	16	20547547	20587689
ACSM3	16	20621564	20787242
ACSM4	12	7456879	7481320
ACSM5	16	20420855	20431117
ACSM5P1	16	20597871	20618429
ACSM6	10	96953956	96988685
ACSS1	20	24986867	24992962
ACSS2	20	33459948	33470793
ACSS3	12	81331593	81528742
ACTA1	1	229566991	229569841
ACTA2	10	90694830	90712530
ACTA2-AS1	10	90692399	90700097
ACTB	7	5566781	5570340
ACTBL2	5	56775845	56778636
ACTBP1	X	46147450	46148563
ACTBP2	5	77080704	77081827
ACTBP6	8	85860819	85861909
ACTBP7	15	44281258	44282382
ACTBP8	6	88985600	88986708
ACTBP9	18	60109260	60110359
ACTBP11	1	224051427	224052553
ACTBP12	1	92694137	92694992
ACTBP13	3	49910779	49915413
ACTBP14	10	70782533	70783622
ACTC1	15	35080296	35088340
ACTG1	17	79476996	79479900
ACTG1P1	3	139212650	139213779
ACTG1P2	Y	19868880	19870005
ACTG1P3	20	1141227	1142341
ACTG1P4	1	104112174	104113296
ACTG1P9	6	46172465	46175123
ACTG1P10	X	53172013	53173095
ACTG1P11	Y	20309769	20310894
ACTG1P12	3	12111694	12112860
ACTG1P13	3	98934067	98935110
ACTG1P14	9	6834455	6835577
ACTG1P15	15	34665741	34666804
ACTG1P16	16	50092060	50093142
ACTG1P17	15	83394624	83407368
ACTG1P18	6	101878286	101879429
ACTG1P19	9	103493521	103494637
ACTG1P20	1	27651819	27652287
ACTG1P21	1	78239549	78240549
ACTG1P22	2	57982562	57992345
ACTG1P23	3	175695284	175696358
ACTG1P24	17	17145323	17146200
ACTG2	2	74119440	74146802
ACTL6A	3	179280667	179306196
ACTL6B	7	100240719	100254084
ACTL7A	9	111624602	111626035
ACTL7B	9	111616870	111619239
ACTL8	1	18081807	18153558
ACTL9	19	8807750	8809172
ACTL10	20	32254303	32256331
ACTN1	14	69340859	69446157
ACTN1-AS1	14	69446398	69454180
ACTN2	1	236849753	236925919
ACTN3	11	66313865	66330797
ACTN4	19	39138288	39212518
ACTN4P1	4	117519316	117520767
ACTN4P2	1	38242341	38245090
ACTP1	2	108715565	108715948
ACTR1A	10	104238985	104262468
ACTR1B	2	98272430	98280570
ACTR2	2	65454886	65498387
ACTR3	2	114647536	114720173
ACTR3B	7	152456833	152552463
